company,gvkey
1300 SMILES LTD,272690
3P LEARNING LTD,317959
A.C.N 004 410 833 LTD,240944
A2B AUSTRALIA LTD,241372
AAPT LTD,216259
AAT CORP LTD,242986
ABB GRAIN LTD,254378
ABC LEARNING CENTER LTD,247358
ABIGROUP LTD,211516
ACACIA RESOURCES LTD,206142
ACADEMIES AUSTRALASIA GROUP,253461
ACCENT GROUP LTD,271338
ACRUX LTD,271011
ADACEL TECHNOLOGIES LTD,235498
ADAIRS LTD,319886
ADBRI LTD,100835
ADITYA BIRLA MINERALS,277632
ADSTEAM MARINE LTD,226176
ADTRANS GROUP LTD,211519
AEVUM LTD,271286
AGL ENERGY,100251
AJ LUCAS GROUP LTD,245996
ALESCO CORPORATION LTD,200314
ALEXIUM INTERNATIONAL GROUP,246008
ALINTA INFRASTRUCTURE HLDGS,274184
ALINTA LTD,241359
ALLGAS ENERGY LTD,200127
ALLIANCE AVIATION SERVICES,311355
ALPHA TECHNOLOGIES CORP LTD,248760
ALPHAWEST LTD,247538
ALS LTD,201015
ALTIUM LTD,241406
ALUMINA LTD,16560
AMA GROUP LTD,278786
AMBERTECH LTD,272783
AMBITION GROUP LTD,247372
AMCOM TELECOMMUNICATIONS,242979
AMMTEC LTD,212416
AMPOL LTD,102903
ANGUS & COOTE (HLDGS) LTD,211525
ANSELL LTD,14242
APA GROUP,242536
APA SUB GROUP,271539
APIAM ANIMAL HEALTH LTD,320967
APN OUTDOOR GROUP LTD,318666
APOLLO TOURISM & LEISURE LTD,322763
ARANA THERAPEUTICS LTD,208441
ARB CORP,211528
ARC ENERGY LTD,247510
ARGONAUT RESOURCES NL,206146
ARNOTTS LTD,100248
ARROWFIELD GROUP LTD,200239
ARTHUR YATES & CO LTD,200240
ASCIANO LTD,284805
ASG GROUP LTD,252569
ASHLEY SERVICES GROUP LTD,318223
ASHTON MINING LTD,100118
ASIA PACIFIC SPECIALTY CHEMS,212629
ASIAN AMERICAN MEDICAL GROUP,284449
ASIAN PACIFIC LTD,253405
ASPERMONT LTD,253505
ASRA MINERALS LIMITED,210248
ASTIVITALTD,293575
ASTRA CAPITAL LTD,210285
ATLAS ARTERIA LTD,293796
ATLAS IRON LTD,271525
AUB GROUP LTD,274487
AUMAKE LIMITED,310593
AURELIA METALS LTD,284527
AURIONGOLD LTD,203495
AURIZON HOLDINGS LTD,295910
AURORA GOLD LTD,200329
AUSDOC GROUP LTD,200330
AUSENCO LTD,278117
AUSMANI LTD,249503
AUSMELT LTD,211532
AUSNET SERVICES,274820
AUSPINE LTD,208265
AUSTAL LTD,232041
AUSTAR UNITED COMMUNICATIONS,231036
AUSTCO HEALTHCARE LTD,271176
AUSTEREO GROUP LTD,244346
AUSTIN ENGINEERING LTD,272233
AUSTRAL COAL LTD,248131
AUSTRAL GOLD LTD,248795
AUSTRALIAN AGRICULTRL CO LTD,249874
AUSTRALIAN CAREERS NETWORK,318833
AUSTRALIAN CLINICAL LABS LTD,347733
AUSTRALIAN FOOD & FIBRE LTD,245997
AUSTRALIAN HOSPITAL CARE LTD,213100
AUSTRALIAN NATIONAL INDS LTD,100454
AUSTRALIAN OIL & GAS CORP,101495
AUSTRALIAN PHARM INDS LTD,229876
AUSTRALIAN PLANTATION TIMBER,241363
AUSTRALIAN POWER&GAS CO LTD,247642
AUSTRALIAN RESOURCES LTD,210715
AUSTRALIAN VINTAGE LTD,211545
AUTO GROUP LTD,211538
AUTODOM LTD,247367
AUTOMOTIVE HLDG GP LTD,274519
AUTOSPORTS GROUP LTD,322858
AV JENNINGS LTD,212381
AVATAR INDUSTRIES LTD,201687
AWA LTD,100093
AWB LTD,248767
AWE LTD,242580
AWN HOLDINGS LTD,256758
B DIGITAL,248139
BABY BUNTING GROUP LTD,320481
BAPCOR LTD,317476
BASE RESOURCES LTD,289969
